reaction	linear_coefficient
rxn33298_c	[0.014203276787008844]
rxn28045_c	[0.014203276787008844]
rxn06850_c	[0.03581267217630854]
rxn16789_c	[0.046034507756995795]
rxn16573_c	[0.045321154124981874]
rxn38257_c	[0.004755690880092794]
rxn19488_c	[0.225115267507612]
rxn34739_c	[0.009232999855009425]
rxn03617_c	[0.009232999855009425]
rxn34735_c	[0.009232999855009425]
rxn34736_c	[0.009232999855009425]
rxn34737_c	[0.009232999855009425]
rxn34734_c	[0.009232999855009425]
rxn34738_c	[0.009232999855009425]
rxn27455_c	[0.009232999855009425]
rxn27889_c	[0.0035290706104103235]
rxn27887_c	[0.0035290706104103235]
rxn32796_c	[0.008539944903581268]
rxn35488_c	[0.008539944903581268]
rxn02788_c	[0.14320429172103813]
rxn03690_c	[0.14320429172103813]
rxn04464_c	[0.010477018993765406]
rxn19646_c	[0.013231839930404525]
rxn04961_c	[0.02629549079309845]
rxn30378_c	[0.05185442946208496]
rxn27286_c	[0.01215311004784689]
rxn35247_c	[0.027023343482673625]
rxn06023_c	[0.012390894591851529]
rxn35449_c	[0.04860664056836306]
rxn28979_c	[0.007493112947658402]
rxn03264_c	[0.007493112947658402]
rxn32253_c	[0.006034507756995795]
rxn30355_c	[0.006034507756995795]
rxn33740_c	[0.006034507756995795]
rxn33295_c	[0.006034507756995795]
rxn34671_c	[0.006034507756995795]
rxn28091_c	[0.028307959982601133]
rxn34299_c	[0.028307959982601133]
rxn09177_c	[0.06805567638103523]
rxn16195_c	[0.01162534435261708]
rxn28051_c	[0.036401333913295635]
rxn02432_c	[0.010477018993765406]
rxn02433_c	[0.010477018993765406]
rxn38143_c	[0.03470204436711614]
rxn02939_c	[0.01509931854429462]
rxn07587_c	[0.010404523705959113]
rxn35352_c	[0.03241989270697405]
rxn30743_c	[0.026373785703929245]
rxn02450_c	[0.01552269102508337]
rxn15365_c	[0.01552269102508337]
rxn06375_c	[0.01552269102508337]
rxn15666_c	[0.01552269102508337]
rxn04598_c	[0.02629549079309845]
rxn04597_c	[0.02629549079309845]
rxn32619_c	[0.008887922285051471]
rxn15667_c	[0.010810497317674351]
rxn32257_c	[0.046034507756995795]
rxn35316_c	[0.0514919530230535]
rxn05890_c	[0.0514919530230535]
rxn35311_c	[0.04741771784833986]
rxn35310_c	[0.04741771784833986]
rxn00290_c	[0.0026446280991735535]
rxn27845_c	[0.010404523705959113]
rxn32978_c	[0.014470059446136]
rxn01857_c	[0.14686095403798752]
rxn04160_c	[0.012530085544439611]
rxn35343_c	[0.010477018993765406]
rxn32750_c	[0.010477018993765406]
rxn34231_c	[0.010477018993765406]
rxn01153_c	[0.014806437581557199]
rxn06224_c	[0.009438886472379294]
rxn04052_c	[0.011294765840220386]
rxn03512_c	[0.011294765840220386]
rxn09037_c	[0.010477018993765406]
rxn01990_c	[0.010477018993765406]
rxn02346_c	[0.010477018993765406]
rxn20041_c	[0.050323328983616064]
