reaction	linear_coefficient
rxn03866_c	[0.035947599271690965, 0.036046167772426196, 0.06641767456182425, 0.028876044049689242]
rxn19989_c	[0.035947599271690965, 0.036046167772426196, 0.06641767456182425, 0.028876044049689242]
rxn19986_c	[0.035947599271690965, 0.036046167772426196, 0.06641767456182425, 0.028876044049689242]
rxn33120_c	[0.035947599271690965, 0.036046167772426196, 0.06641767456182425, 0.028876044049689242]
rxn07685_c	[0.035947599271690965, 0.036046167772426196, 0.06641767456182425, 0.028876044049689242]
rxn07880_c	[0.035947599271690965, 0.036046167772426196, 0.06641767456182425, 0.028876044049689242]
rxn19988_c	[0.035947599271690965, 0.036046167772426196, 0.06641767456182425, 0.028876044049689242]
rxn33363_c	[0.035947599271690965, 0.036046167772426196, 0.06641767456182425, 0.028876044049689242]
rxn05104_c	[0.08241765585704636, 0.0960049609665957, 0.09297448774757891, 0.0779990737749711]
rxn01037_c	[0.024536726058965074, 0.0256274542144232, 0.027302079394284615, 0.020666006591466016]
rxn31408_c	[0.025763025126124047, 0.02696218532976661, 0.029669855918720626, 0.023305097533288643]
rxn20202_c	[0.01081791517971298, 0.010981031448237337, 0.01311214830817689, 0.009697627614839052]
rxn32357_c	[0.021906750572227903, 0.023363040164395863, 0.023325487133797788, 0.023305097533288643]
rxn03395_c	[0.021906750572227903, 0.023363040164395863, 0.023325487133797788, 0.023305097533288643]
rxn33220_c	[0.021906750572227903, 0.023363040164395863, 0.023325487133797788, 0.023305097533288643]
rxn15785_c	[0.021906750572227903, 0.023363040164395863, 0.023325487133797788, 0.023305097533288643]
rxn06023_c	[0.03126731637459634, 0.029361328433989732, 0.03292048185829632, 0.03390171341106845]
rxn28109_c	[0.07825263345593085, 0.08792292999696402, 0.08152446071006332, 0.07019340053685384]
rxn28046_c	[0.07825263345593085, 0.08792292999696402, 0.08152446071006332, 0.07019340053685384]
rxn32810_c	[0.02749947394765142, 0.027735286432748432, 0.029669855918720626, 0.02496237623314259]
rxn32580_c	[0.01256765396605274, 0.013594743401933911, 0.017046096142905302, 0.00844843106060569]
rxn07474_c	[0.024644071999035396, 0.02696218532976661, 0.024050442294491214, 0.022998321538757825]
rxn32556_c	[0.11778814243543176, 0.1357887885870553, 0.17154683347907554, 0.09082319563965453]
rxn34729_c	[0.03126731637459634, 0.0308910123951179, 0.03630005222571501, 0.02809619879789315]
rxn34728_c	[0.03126731637459634, 0.0308910123951179, 0.03630005222571501, 0.02809619879789315]
rxn34732_c	[0.03126731637459634, 0.0308910123951179, 0.03630005222571501, 0.02809619879789315]
rxn04274_c	[0.03126731637459634, 0.0308910123951179, 0.03630005222571501, 0.02809619879789315]
rxn37816_c	[0.03126731637459634, 0.0308910123951179, 0.03630005222571501, 0.02809619879789315]
rxn34630_c	[0.025763025126124047, 0.02696218532976661, 0.029669855918720626, 0.023305097533288643]
rxn02949_c	[0.03126731637459634, 0.0308910123951179, 0.03630005222571501, 0.02809619879789315]
rxn34731_c	[0.03126731637459634, 0.0308910123951179, 0.03630005222571501, 0.02809619879789315]
rxn35541_c	[0.03126731637459634, 0.0308910123951179, 0.03630005222571501, 0.02809619879789315]
rxn04275_c	[0.03126731637459634, 0.0308910123951179, 0.03630005222571501, 0.02809619879789315]
rxn07882_c	[0.03126731637459634, 0.0308910123951179, 0.03630005222571501, 0.02809619879789315]
rxn34730_c	[0.03126731637459634, 0.0308910123951179, 0.03630005222571501, 0.02809619879789315]
rxn32064_c	[0.03126731637459634, 0.0308910123951179, 0.03630005222571501, 0.02809619879789315]
rxn34733_c	[0.03126731637459634, 0.0308910123951179, 0.03630005222571501, 0.02809619879789315]
rxn37861_c	[0.03126731637459634, 0.0308910123951179, 0.03630005222571501, 0.02809619879789315]
rxn32636_c	[0.03126731637459634, 0.0308910123951179, 0.03630005222571501, 0.02809619879789315]
rxn38273_c	[0.016968837427143734, 0.01847286940565782, 0.017536506986052327, 0.01414563383081097]
rxn27919_c	[0.012900426376181124, 0.011246016066807585, 0.012557770831217218, 0.01351020437452713]
rxn11772_c	[0.012900426376181124, 0.011246016066807585, 0.012557770831217218, 0.01351020437452713]
rxn38134_c	[0.012900426376181124, 0.011246016066807585, 0.012557770831217218, 0.01351020437452713]
rxn13914_c	[0.024343503366838496, 0.024916813635552315, 0.02715282391860509, 0.021250890522984744]
rxn03140_c	[0.024343503366838496, 0.024916813635552315, 0.02715282391860509, 0.021250890522984744]
rxn11766_c	[0.24011957340031365, 0.2548511973941676, 0.20123801159620042, 0.2194037910798314]
rxn32969_c	[0.24011957340031365, 0.2548511973941676, 0.20123801159620042, 0.2194037910798314]
rxn11765_c	[0.24011957340031365, 0.2548511973941676, 0.20123801159620042, 0.2194037910798314]
rxn38024_c	[0.025763025126124047, 0.02696218532976661, 0.029669855918720626, 0.023305097533288643]
rxn32386_c	[0.025763025126124047, 0.02696218532976661, 0.029669855918720626, 0.023305097533288643]
rxn11773_c	[0.24011957340031365, 0.2548511973941676, 0.20123801159620042, 0.2194037910798314]
rxn33365_c	[0.24011957340031365, 0.2548511973941676, 0.20123801159620042, 0.2194037910798314]
rxn16660_c	[0.17141817306398285, 0.1817515758518756, 0.1835405768846987, 0.15069798070692175]
rxn38693_c	[0.08241765585704636, 0.09156044614338091, 0.10713243548783045, 0.07301672915957391]
rxn31960_c	[0.08241765585704636, 0.09156044614338091, 0.10713243548783045, 0.07301672915957391]
rxn01252_c	[0.08241765585704636, 0.09156044614338091, 0.10713243548783045, 0.07301672915957391]
rxn01251_c	[0.08241765585704636, 0.09156044614338091, 0.10713243548783045, 0.07301672915957391]
rxn16679_c	[0.012900426376181124, 0.011246016066807585, 0.012088682196124426, 0.015719765906626035]
rxn31088_c	[0.010753507615670788, 0.008054155843525253, 0.010915960618042385, 0.008708379477871054]
rxn03446_c	[0.010753507615670788, 0.008054155843525253, 0.010915960618042385, 0.008708379477871054]
rxn33688_c	[0.12422889867606669, 0.12003424833479097, 0.12737787438508621, 0.10132222332117258]
rxn33703_c	[0.12422889867606669, 0.12003424833479097, 0.12737787438508621, 0.10132222332117258]
rxn00745_c	[0.11778814243543176, 0.09949794008587941, 0.09319837095627322, 0.09684533395342655]
rxn10534_c	[0.02139149007624879, 0.021785177183211133, 0.024167714453264412, 0.018160392696887857]
rxn11595_c	[0.02139149007624879, 0.021785177183211133, 0.024167714453264412, 0.018160392696887857]
rxn31361_c	[0.01920163293971033, 0.02083364149579828, 0.02621464665806945, 0.015452596703249232]
rxn38276_c	[0.06107728336366894, 0.03837080559752424, 0.04036193332806871, 0.03339625816341729]
rxn34254_c	[0.06107728336366894, 0.03837080559752424, 0.04036193332806871, 0.03339625816341729]
rxn06090_c	[0.035775845767578446, 0.06117152787994489, 0.041822504748657695, 0.028038432487016596]
rxn35432_c	[0.013673317128329003, 0.013992220333918849, 0.013368014833777522, 0.01494714144826973]
rxn31235_c	[0.013769928470302685, 0.013895862293805713, 0.016289157665305552, 0.009740952346164383]
rxn16150_c	[0.0247514179309265, 0.019568942161499493, 0.029167772816153754, 0.014694413824444148]
rxn35283_c	[0.0215310397942506, 0.02397732270315361, 0.02062822751096406, 0.02058657790759845]
rxn00193_c	[0.07825263345593085, 0.07602271148963029, 0.08043702797384818, 0.06579593984564704]
rxn01669_c	[0.05946709429533099, 0.03591367546727063, 0.069999805929883, 0.03207485371875615]
rxn32259_c	[0.09351722582312028, 0.10909761025336599, 0.09297448774757891, 0.07791242431232044]
rxn11768_c	[0.010002086043357759, 0.009499526515424864, 0.010670755201293847, 0.010376381809776567]
rxn27944_c	[0.010002086043357759, 0.009499526515424864, 0.010670755201293847, 0.010376381809776567]
rxn25492_c	[0.05671903827860607, 0.038912819597938006, 0.033794692494669265, 0.034955948652352783]
rxn16520_c	[0.025763025126124047, 0.02696218532976661, 0.029669855918720626, 0.023305097533288643]
rxn37956_c	[0.02669437940939284, 0.02696218532976661, 0.029669855918720626, 0.024500245716816763]
