keggID	Base mean DMC
lic:LIC_12820	41.73
lil:LA_0790	157.11
lil:LA_0789	15.28
saci:Sinac_5692	19.2
lic:LIC_12839	9.0
lic:LIC_12841	41.33
lis:LIL_12946	184.59
gao:A2G06_08380	1183.25
azc:AZC_0928	224.82
lil:LA_0727	86.39
alus:STSP2_02144	13.18
paut:Pdca_14000	2.94
lil:LA_0693	44.85
salh:HMF8227_02526	263.19
bsto:C0V70_17775	21.95
lil:LA_0671	55.1
barb:AOA66_0944	26.37
lic:LIC_12934	52.52
aaxa:NCTC10138_01451	18.42
piv:NCTC13079_00754	143.51
tpx:Turpa_1643	32.84
asz:ASN_1158	12.8
lic:LIC_12949	5.97
lic:LIC_12950	5.81
syf:Synpcc7942_2454	6.96
lic:LIC_12955	23.18
lil:LA_0618	61.68
ccro:CMC5_022300	25.32
sen:SACE_0728	13.17
sua:Saut_0637	900.19
lil:LA_0595	10.16
lic:LIC_12982	124.62
aaxa:NCTC10138_00241	50.08
lic:LIC_12988	8.41
lil:LA_0579	46.23
psed:DM292_00360	9.3
prm:EW15_1629	15.75
lil:LA_0565	14.38
lic:LIC_13016	7.09
hhd:HBHAL_2473	12.24
lie:LIF_A0444	41.96
lic:LIC_13027	10.47
lbj:LBJ_2844	4.63
tig:THII_3121	125.94
thef:E1B22_09150	5.22
clg:Calag_1231	31.01
afs:AFR_33235	1.87
lil:LA_0512	440.93
lil:LA_3843	8.44
bof:FQV39_14950	40.36
lil:LA_3863	31.93
lil:LA_3874	23.2
mthd:A3224_11795	13.22
thb:N186_08950	9.07
lic:LIC_13104	5.2
lil:LA_3888	43.04
cte:CT2056	8.73
bsto:C0V70_18545	6.82
des:DSOUD_1479	34.58
oxy:HCG48_15465	60.36
pset:THL1_3734	4.51
tni:TVNIR_1685	9.66
tig:THII_3121	25.43
enf:AKI40_0896	3.08
camu:CA2015_3809	8.96
fmo:C4N19_00565	46.0
mhad:B586_07090	13.62
laj:A0128_11770	47.89
cazo:G3A45_04400	71.15
lic:LIC_13138	17.47
lic:LIC_13141	12.34
lic:LIC_13142	22.6
ftu:FTT_1317c	56.15
lic:LIC_13145	48.53
sus:Acid_2404	55.18
lil:LA_3948	57.16
lil:LA_3949	42.64
lic:LIC_13162	102.88
lil:LA_3958	30.95
lic:LIC_13164	13.16
lic:LIC_13168	56.48
shn:Shewana3_4117	30.65
sagr:SAIL_4900	14.08
ag:CAK50787	49.6
lil:LA_3975	8.12
dco:SAMEA4475696_1400	13.03
bih:BIP78_1315	13.83
lil:LA_3980	15.68
scu:SCE1572_50720	13.43
arp:NIES39_E02730	88.04
lic:LIC_13193	9.09
lic:LIC_13194	27.76
lil:LA_3999	7.53
tsu:Tresu_1685	11.58
lil:LA_4004	30.2
lic:LIC_13201	60.65
lil:LA_4009	8.66
lie:LIF_A3207	36.26
gog:C1280_15680	40.0
lic:LIC_13222	8.54
spne:SPN034156_07570	138.78
fmi:F0R74_09270	37.76
pdag:4362423_01603	15.4
dto:TOL2_C38020	5.65
lil:LA_4067	199.47
hgn:E6W36_08880	35.07
lil:LA_4079	31.63
tsl:A3L11_05140	11.2
amu:Amuc_1190	50.06
cfus:CYFUS_006241	6.71
lil:LA_4092	180.14
gba:J421_2715	17.15
arp:NIES39_E02730	11.85
lic:LIC_13271	17.73
pel:SAR11G3_00208	14.78
lic:LIC_13279	14.2
lie:LIF_A3279	5.67
lic:LIC_13281	48.29
hmo:HM1_1592	70.9
mbu:Mbur_1899	6.91
mbu:Mbur_1899	9.71
vcp:H9L18_12175	89.68
lil:LA_4139	149.86
pel:SAR11G3_00761	59.73
kal:KALB_1452	147.4
lkm:EFP84_19320	26.63
lic:LIC_13324	43.67
lil:LA_4167	11.17
lil:LA_4168	22.26
lil:LA_4171	57.8
csn:Cyast_1025	63.07
mpy:Mpsy_1340	50.11
lic:LIC_13336	7.78
cthe:Chro_2389	69.47
lic:LIC_13356	14.66
lil:LA_4205	2.75
lic:LIC_13358	2.66
hmo:HM1_1592	19.1
lic:LIC_13366	18.8
lil:LA_4216	95.37
