"PATRIC","ut30","to30","ut37","to37"
"fig|214675.23.peg.388",41.452145,2.673531,8.439978,2.802189
"fig|214675.23.peg.389",21.373726,3.823616,24.405861,10.858825
"fig|214675.23.peg.390",34.00267,7.147928,37.254654,17.561411
"fig|214675.23.peg.391",2.930748,14.607689,2.749264,33.416153
"fig|214675.23.peg.392",386.413361,55.194374,280.660706,102.86377
"fig|214675.23.peg.393",1.001087,1.311844,0.983018,1.524408
"fig|214675.23.peg.397",7.182483,2.446443,5.7675,2.184702
"fig|214675.23.peg.398",491.952484,111.205696,156.190353,103.467422
"fig|214675.23.peg.399",10.236897,3.201937,17.84199,7.296233
"fig|214675.23.peg.400",11.565934,3.830272,19.590523,10.849257
"fig|214675.23.peg.401",2.237123,1.56085,3.857876,4.905402
"fig|214675.23.peg.402",4.138876,1.9474,2.809626,2.949619
"fig|214675.23.peg.403",156.594025,5.743059,145.227966,5.710352
"fig|214675.23.peg.404",52.447308,98.69397,30.079308,69.394691
"fig|214675.23.rna.7",47.801895,2.757286,31.61536,2.788198
"fig|214675.23.peg.405",4.127817,3.259348,7.41745,7.954363
"fig|214675.23.peg.406",10.911296,5.571798,7.718649,10.87165
"fig|214675.23.peg.407",31.248386,7.406292,17.284788,8.408168
"fig|214675.23.peg.408",14.826841,3.340195,14.707354,5.286573
"fig|214675.23.peg.409",43.222092,4.485979,18.776909,5.427624
"fig|214675.23.peg.410",1.088117,1.101395,0.723995,1.80025
"fig|214675.23.peg.412",0.786568,0.724722,NA,0.5342
"fig|214675.23.peg.413",18.822542,7.982738,22.837933,16.041531
"fig|214675.23.peg.414",53.83744,9.97847,38.173134,19.167973
"fig|214675.23.peg.415",35.838692,19.985561,32.557217,51.939163
"fig|214675.23.peg.416",434.334503,63.791622,524.854797,161.479767
"fig|214675.23.peg.417",217.450928,67.775986,193.868042,174.172333
"fig|214675.23.peg.418",17.027605,5.803989,13.953141,8.080735
"fig|214675.23.peg.419",316.975433,25.213709,121.401199,27.21594
"fig|214675.23.peg.421",44.533424,11.654678,24.453129,11.76225
"fig|214675.23.peg.422",24.458715,4.570885,20.463745,6.874105
"fig|214675.23.peg.423",7.013334,0.867681,7.716763,1.290153
"fig|214675.23.peg.424",1.898437,1.075794,1.367413,1.464611
"fig|214675.23.peg.513",0.994468,NA,0.912057,0.377534
"fig|214675.23.peg.514",1.230231,NA,1.39232,NA
"fig|214675.23.peg.467",21.519304,1.811585,34.768932,5.052854
"fig|214675.23.peg.468",1.616491,0.389437,3.278191,1.418331
"fig|214675.23.peg.469",2.573503,0.723449,5.119225,1.844714
"fig|214675.23.peg.470",22.805838,9.419628,30.03042,18.918943
"fig|214675.23.peg.471",18.258219,2.725717,18.888229,4.934699
"fig|214675.23.peg.472",7.228549,12.400404,7.659124,18.092722
"fig|214675.23.peg.473",81.206703,77.535011,26.520481,74.0177
"fig|214675.23.peg.474",657.681274,54.670338,220.695129,34.465542
"fig|214675.23.peg.475",7.514977,0.519927,2.559183,0.500336
"fig|214675.23.peg.476",2.724843,2.141605,NA,1.866453
"fig|214675.23.peg.477",230.193741,13.538808,71.907654,16.116484
"fig|214675.23.peg.479",33.338963,4.106029,11.096546,3.165293
"fig|214675.23.peg.480",5.995425,0.662549,6.46517,0.853931
"fig|214675.23.peg.481",42.905251,8.270023,30.945175,16.975338
"fig|214675.23.peg.482",19.300674,6.437164,15.72754,8.702217
"fig|214675.23.peg.483",274.672424,291.981812,151.031082,406.664886
"fig|214675.23.peg.484",2.166948,21.348824,26.625414,29.917494
"fig|214675.23.peg.485",5.526408,NA,3.260445,NA
"fig|214675.23.peg.487",308.92926,22.899626,207.626312,29.749454
