keggID	to37
lwl:FHG68_03790	7.228895
lil:LA_0973	3.013753
lil:LA_0993	1.355633
acm:AciX9_0202	33.830929
lic:LIC_10900	4.74265
snr:SNOUR_02560	0.759019
mbu:Mbur_1899	2.442984
mbu:Mbur_1899	1.269021
hmo:HM1_1592	15.682458
lic:LIC_13281	5.84258
lie:LIF_A3279	3.504136
lil:LA_4114	1.596291
pel:SAR11G3_00208	2.361305
lic:LIC_13271	3.508722
arp:NIES39_E02730	7.052948
gba:J421_2715	36.621452
lic:LIC_13262	29.313601
cfus:CYFUS_006241	7.379554
amu:Amuc_1190	15.297179
lil:LA_4221	7.566284
lil:LA_4220	11.94375
lil:LA_4219	7.886343
lis:LIL_13474	5.415154
lil:LA_4217	4.478765
lil:LA_4216	21.931522
lis:LIL_13471	4.216465
hmo:HM1_1592	5.590886
lil:LA_4206	0.500445
lil:LA_4205	0.966091
lil:LA_4204	0.994782
cthe:Chro_2389	4.63736
lis:LIL_13438	0.412023
mpy:Mpsy_1340	9.753073
csn:Cyast_1025	63.172405
lil:LA_4171	11.400242
lil:LA_4168	26.621925
lil:LA_4167	4.373043
lic:LIC_13324	0.0
lkm:EFP84_19320	21.157261
dwd:DSCW_47150	31.869598
pel:SAR11G3_00761	10.862326
lil:LA_4139	77.543541
vcp:H9L18_12175	35.158699
lje:BUE77_07795	0.0
ade:Adeh_0371	4.785064
lie:LIF_A1650	4.001552
lic:LIC_11867	5.466014
lic:LIC_11866	6.906282
lxy:O159_16300	2.488188
lil:LA_2050	6.580828
lil:LA_2051	6.172208
lic:LIC_11860	6.231781
pth:PTH_0951	7.08948
lil:LA_2058	8.570029
pbas:SMSP2_01647	8.968573
lil:LA_2061	3.474485
lil:LA_2062	7.088935
lil:LA_2076	5.329393
lil:LA_2087	6.854445
lil:LA_2092	12.556985
pth:PTH_0951	5.416815
scl:sce1764	8.382057
lil:LA_2095	37.985584
lil:LA_2096	21.587788
lil:LA_2097	13.554825
lil:LA_2105	6.837513
lil:LA_2106	7.295905
hcv:FTV88_0636	4.015512
pma:Pro_0130	21.440435
sali:L593_11230	47.402107
mpli:E1742_16830	8.210627
kal:KALB_1452	2.798337
lil:LA_2115	1.45858
lil:LA_2116	1.840781
lil:LA_2119	19.285028
lil:LA_3086	8.354076
lil:LA_3085	6.129905
vir:X953_15095	22.333366
lil:LA_3080	11.742578
lst:LSS_15791	1.711861
mag:amb1082	9.215611
lie:LIF_A2468	15.839145
lil:LA_3051	4.036302
lil:LA_3540	2.355459
paco:AACT_2965	2.550714
mfw:mflW37_3950	1.345324
lis:LIL_12491	11.575813
cale:FDN13_13375	12.465458
lil:LA_2924	6.524187
psyh:D0S48_12660	1.665166
ccz:CCALI_01052	2.652716
ccz:CCALI_01052	3.914829
agv:OJF2_49420	5.094959
agv:OJF2_49420	1.422647
psyh:D0S48_12660	3.342986
psyh:D0S48_12660	1.630348
lil:LA_2935	3.568583
hmo:HM1_1592	13.814672
lil:LA_0256	30.600185
ctyk:CTK_C15030	9.980661
lil:LA_0251	109.270172
lil:LA_0244	130.319977
lie:LIF_A0210	189.09729
lic:LIC_10208	131.77652
lil:LA_0237	5.302228
lis:LIL_10203	5.173054
lil:LA_0229	8.714402
chd:Calhy_1552	1.226813
amyt:AMYT_0392	1.121998
lie:LIF_A0194	6.105241
hhm:BN341_18130	3.579025
hhy:Halhy_4875	378.659607
lil:LA_0185	15.250274
lic:LIC_10160	8.853292
lil:LA_0171	2.912567
dao:Desac_2111	22.60387
lil:LA_0157	9.753696
pth:PTH_0951	9.427054
cbi:CLJ_B0032	7.605143
ccl:Clocl_1669	13.152012
hadh:FRZ61_40400	18.624416
lic:LIC_10121	9.76532
oxy:HCG48_15465	1.771118
lil:LA_0130	2.954733
lil:LA_0126	9.653732
lil:LA_0125	10.014475
lil:LA_0124	10.841633
mbu:Mbur_1899	0.984209
anc:GBB76_17500	5.721712
lkm:EFP84_17850	6.445578
fbc:FB2170_09651	3.412268
afs:AFR_33235	5.61464
clg:Calag_1231	7.483812
thef:E1B22_09150	0.0
psl:Psta_4204	3.04143
doa:AXF15_00100	3.935308
baj:BCTU_367	4.130188
sod:Sant_1609	2.149429
efal:FH779_04580	2.798799
lic:LIC_11175	6.715989
samb:SAM23877_5630	8.620881
lil:LA_2886	11.149194
lil:LA_1119	14.827678
hgn:E6W36_08880	1.106761
lkm:EFP84_14305	2.345896
lic:LIC_12551	10.523569
azz:DEW08_08080	30.684366
lil:LA_1139	8.77765
lic:LIC_12541	13.158216
lil:LA_1144	8.487086
lil:LA_1145	13.006324
lil:LA_1147	27.78681
rba:RB10127	4.142581
agu:AS4_34150	9.124328
lic:LIC_11633	40.797421
dat:HRM2_08670	5.851235
lil:LA_2309	66.961945
lis:LIL_11746	10.520861
tpx:Turpa_1643	6.59487
lil:LA_2324	12.92676
lil:LA_2326	17.04454
lie:LIF_A1901	3.923266
lic:LIC_11610	3.723767
lil:LA_2335	6.658327
metb:AW729_01355	3.916861
efv:CHH26_09260	0.0
rba:RB10127	18.049532
htq:FRZ44_08400	77.455719
tnp:Tnap_0551	1.774853
kal:KALB_1452	5.074513
lil:LA_2494	15.196867
lic:LIC_13162	31.558817
lil:LA_3958	10.282937
lil:LA_3959	6.091313
lic:LIC_13168	18.170195
paby:Ga0080574_TMP1432	2.040039
sagr:SAIL_4900	5.818602
ag:CAK50787	10.232314
lil:LA_3975	10.763513
dco:SAMEA4475696_1400	7.345547
beb:AEM42_03085	7.195179
lil:LA_3980	3.051868
lil:LA_1487	14.809746
dfg:B0537_05970	13.856485
arth:C3B78_09960	7.299414
hmo:HM1_1592	2.9828
lil:LA_1511	6.254869
lis:LIL_12376	5.822435
lil:LA_1518	9.448437
bmar:HF888_03850	19.662395
lmay:DPV73_12440	4.030632
lil:LA_1532	42.947586
cpas:Clopa_4535	8.296582
bhk:B4U37_15780	1.48362
syf:Synpcc7942_2454	1.971782
lagg:B0E33_10030	2.222003
pth:PTH_0951	2.365568
mhi:Mhar_1198	74.545914
lil:LA_4242	37.084419
mad:HP15_p187g91	4.417033
laj:A0128_18850	6.192567
lil:LA_4246	2.987529
hhy:Halhy_3688	4.048479
lic:LIC_13399	4.554973
scot:HBA18_16695	1.137773
tbz:BK011_03200	6.880175
lic:LIC_13404	5.803151
lil:LA_4255	6.952247
lil:LA_4261	1.225458
thig:FE785_09965	2.701217
lil:LA_4266	5.593705
seon:BWZ22_11605	1.273074
hala:Hrd1104_02780	5.727931
tsc:TSC_c14200	6.951303
tth:TT_C0815	0.853186
kal:KALB_1452	1.778153
lil:LA_4290	6.735915
lil:LA_4295	2.543345
thef:E1B22_09150	3.660453
lic:LIC_13442	11.4526
sld:T261_0279	10.32227
hmo:HM1_1592	1.280732
lic:LIC_13469	2.39845
azr:CJ010_18915	22.4016
lil:LA_4330	1.157668
fva:FV113G1_16900	5.019371
hhy:Halhy_4875	5.092933
pib:BBD41_29180	115.463585
lil:LA_3095	6.386024
lil:LA_4008	6.517191
lil:LA_4009	2.139834
lie:LIF_A3207	5.066848
gog:C1280_15680	9.849459
lic:LIC_13222	3.911546
spne:SPN034156_07570	12.283298
fmi:F0R74_09270	2.601151
pdag:4362423_01603	4.973125
dto:TOL2_C38020	2.182859
lil:LA_4067	91.8964
lil:LA_2200	4.808231
amo:Anamo_0184	21.028322
tpx:Turpa_2775	1.175089
lil:LA_2190	2.865558
cbe:Cbei_4080	1.328372
lis:LIL_11870	6.342804
lic:LIC_11747	7.839084
dal:Dalk_2094	6.453318
hhl:Halha_2401	5.062811
wpi:WP0454	0.702173
pab:PAB1523	2.473767
lis:LIL_11890	5.145399
lil:LA_2153	9.11006
lis:LIL_11892	19.189604
csq:CSCA_1240	32.648216
lis:LIL_11897	2.825317
lil:LA_2145	8.331115
ark:D6B99_12610	12.441115
lic:LIC_11778	5.128716
lis:LIL_11904	7.879298
lis:LIL_11905	11.411415
lil:LA_2139	69.640503
lic:LIC_11786	2.856098
baci:B1NLA3E_17845	2.576399
lis:LIL_11915	26.656254
lis:LIL_11918	4.041626
ssob:DK181_03195	16.32395
taci:TDSAC_1210	17.311602
lil:LA_1313	109.270149
deu:DBW_0325	8.688628
kst:KSMBR1_2855	6.057734
iva:Isova_2221	3.128566
lis:LIL_20263	2.249499
gpb:HDN1F_24370	3.694626
pcay:FRD00_07775	1.68048
lil:LA_1262	19.200226
piv:NCTC13079_00754	86.004097
lil:LA_1259	7.806631
lic:LIC_12449	7.547256
lil:LA_1257	5.857842
lil:LA_1256	15.337792
acp:A2cp1_2585	86.672256
dfl:DFE_0669	24.401884
lil:LA_1247	10.795735
dfd:Desfe_0908	1.784753
